UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
445780,"R",1,"R",0,"R",1,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
445841,"R",78,"R",0,"R",78,"R",10,"R",49,"R",0,"R",0,"R",29,"R",48,"Z",0,"R",48,"R",27,"R",6,"Z",0,"R",6,"R",5,"R",24,"Z",0,"R",24,"R",17
445850,"R",49,"R",0,"R",49,"R",6,"R",27,"R",0,"R",0,"R",22,"R",35,"Z",0,"R",35,"R",19,"R",3,"Z",0,"R",3,"R",3,"R",11,"Z",0,"R",11,"R",5
445911,"R",609,"R",0,"R",609,"R",222,"R",415,"Z",0,"R",3,"R",191,"R",462,"Z",0,"R",462,"R",303,"R",86,"Z",0,"R",86,"R",70,"R",61,"Z",0,"R",61,"R",42
446084,"R",4,"Z",0,"R",4,"R",3,"R",3,"R",0,"R",0,"R",1,"R",3,"Z",0,"R",3,"R",3,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0
446093,"R",32,"R",0,"R",32,"R",12,"R",19,"R",0,"R",0,"R",13,"R",25,"Z",0,"R",25,"R",17,"R",0,"Z",0,"R",0,"R",0,"R",7,"Z",0,"R",7,"R",2
446206,"R",25,"R",0,"R",25,"R",0,"R",23,"R",0,"R",0,"R",2,"R",13,"Z",0,"R",13,"R",13,"R",6,"Z",0,"R",6,"R",6,"R",6,"Z",0,"R",6,"R",4
446242,"R",41,"R",0,"R",41,"R",13,"R",19,"R",0,"R",1,"R",21,"R",36,"Z",0,"R",36,"R",19,"R",3,"Z",0,"R",3,"R",0,"R",2,"Z",0,"R",2,"R",0
446251,"R",3,"R",0,"R",3,"R",3,"R",3,"R",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
446260,"R",257,"R",0,"R",257,"R",75,"R",209,"R",3,"R",0,"R",45,"R",147,"Z",0,"R",147,"R",119,"R",43,"Z",0,"R",43,"R",40,"R",67,"Z",0,"R",67,"R",50
